variable_name,units,value,data_reference
l_subclavian_L66,metre,0.0906065,ADAN
r_0_subclavian,metre,0.003598315,ADAN
u_0_subclavian_L66,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_subclavian_L66,J_per_m3,400000,ADAN_86
u_ext_subclavian_L66,J_per_m3,0,user_defined
theta_subclavian_L66,dimensionless,0,user_defined
m_tube_subclavian_L66,dimensionless,0.5,known
n_tube_subclavian_L66,dimensionless,0,known
I_scale_subclavian_L66,dimensionless,1,user_defined
K_m_K_tube_subclavian_L66,Js_per_m3,30000,Toro_2021
l_axillary_L,metre,0.1200211,ADAN
r_0_axillary_L,metre,0.002189,ADAN
u_0_axillary_L,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_axillary_L,J_per_m3,400000,ADAN_86
u_ext_axillary_L,J_per_m3,0,user_defined
theta_axillary_L,dimensionless,0,user_defined
m_tube_axillary_L,dimensionless,0.5,known
n_tube_axillary_L,dimensionless,0,known
I_scale_axillary_L,dimensionless,1,user_defined
K_m_K_tube_axillary_L,Js_per_m3,30000,Toro_2021
l_brachial_L,metre,0.2231191,ADAN
r_0_brachial_L,metre,0.001952635,ADAN
u_0_brachial_L,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_brachial_L,J_per_m3,400000,ADAN_86
u_ext_brachial_L,J_per_m3,0,user_defined
theta_brachial_L,dimensionless,0,user_defined
m_tube_brachial_L,dimensionless,0.5,known
n_tube_brachial_L,dimensionless,0,known
I_scale_brachial_L,dimensionless,1,user_defined
K_m_K_tube_brachial_L,Js_per_m3,30000,Toro_2021
l_radial_L,metre,0.3175199,ADAN
r_0_radial_L,metre,0.0011866142,ADAN
u_0_radial_L,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_radial_L,J_per_m3,400000,ADAN_86
u_ext_radial_L,J_per_m3,0,user_defined
theta_radial_L,dimensionless,0,user_defined
m_tube_radial_L,dimensionless,0.5,known
n_tube_radial_L,dimensionless,0,known
I_scale_radial_L,dimensionless,1,user_defined
K_m_K_tube_radial_L,Js_per_m3,30000,Toro_2021
l_ulnar_L,metre,0.26903645,ADAN
r_0_ulnar_L,metre,0.0012455,ADAN
u_0_ulnar_L,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_ulnar_L,J_per_m3,400000,ADAN_86
u_ext_ulnar_L,J_per_m3,0,user_defined
theta_ulnar_L,dimensionless,0,user_defined
m_tube_ulnar_L,dimensionless,0.5,known
n_tube_ulnar_L,dimensionless,0,known
I_scale_ulnar_L,dimensionless,1,user_defined
K_m_K_tube_ulnar_L,Js_per_m3,30000,Toro_2021
l_superficial_palmar_arch_L,metre,0.05174761,ADAN
r_0_superficial_palmar_arch_L,metre,0.00086,ADAN
u_0_superficial_palmar_arch_L,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_superficial_palmar_arch_L,J_per_m3,400000,ADAN_86
u_ext_superficial_palmar_arch_L,J_per_m3,0,user_defined
theta_superficial_palmar_arch_L,dimensionless,0,user_defined
m_tube_superficial_palmar_arch_L,dimensionless,0.5,known
n_tube_superficial_palmar_arch_L,dimensionless,0,known
I_scale_superficial_palmar_arch_L,dimensionless,1,user_defined
K_m_K_tube_superficial_palmar_arch_L,Js_per_m3,30000,Toro_2021
l_digital_L_1,metre,0.03295301,ADAN
r_0_digital_L_1,metre,0.000657,ADAN
u_0_digital_L_1,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_digital_L_1,J_per_m3,400000,ADAN_86
u_ext_digital_L_1,J_per_m3,0,user_defined
theta_digital_L_1,dimensionless,0,user_defined
m_tube_digital_L_1,dimensionless,0.5,known
n_tube_digital_L_1,dimensionless,0,known
I_scale_digital_L_1,dimensionless,1,user_defined
K_m_K_tube_digital_L_1,Js_per_m3,30000,Toro_2021
l_digital_L_2,metre,0.03757938,ADAN
r_0_digital_L_2,metre,0.000657,ADAN
u_0_digital_L_2,J_per_m3,10600,assumedRefOf80mmHg
E_K_tube_digital_L_2,J_per_m3,400000,ADAN_86
u_ext_digital_L_2,J_per_m3,0,user_defined
theta_digital_L_2,dimensionless,0,user_defined
m_tube_digital_L_2,dimensionless,0.5,known
n_tube_digital_L_2,dimensionless,0,known
I_scale_digital_L_2,dimensionless,1,user_defined
K_m_K_tube_digital_L_2,Js_per_m3,30000,Toro_2021
R_T_arm_L_T,Js_per_m6,-1,to_be_calculated_from_assumptions
C_T_arm_L_T,m6_per_J,1E-10,small_chosen
u_ext_arm_L_T,J_per_m3,0,user_defined
q_us_arm_L_T,m3,0,user_defined_TO_DO
q_init_arm_L_T,m3,0,user_defined_TO_DO
R_T_digital_L_1_T,Js_per_m6,-1,to_be_calculated_from_assumptions
C_T_digital_L_1_T,m6_per_J,1E-11,small_chosen
u_ext_digital_L_1_T,J_per_m3,0,user_defined
q_us_digital_L_1_T,m3,0,user_defined_TO_DO
q_init_digital_L_1_T,m3,0,user_defined_TO_DO
R_T_digital_L_2_T,Js_per_m6,-1,to_be_calculated_from_assumptions
C_T_digital_L_2_T,m6_per_J,1E-11,small_chosen
u_ext_digital_L_2_T,J_per_m3,0,user_defined
q_us_digital_L_2_T,m3,0,user_defined_TO_DO
q_init_digital_L_2_T,m3,0,user_defined_TO_DO
